"stationId","name","lat","lon"
"116","Linnanmäki","60.1911411","24.9401593"
"237","Aulangontie","60.23030192663912","24.998533819860555"
"117","Brahen puistikko","60.1896706","24.9481024"
"238","Pihlajamäki","60.234578571034135","25.010313905081038"
"118","Fleminginkatu","60.1895417","24.9521601"
"239","Viikin tiedepuisto","60.227520671727405","25.010062061139756"
"119","Gebhardinaukio","60.190857","24.956262"
"240","Viikin normaalikoulu","60.227495295832895","25.02761893353016"
"120","Mäkelänkatu","60.1896352","24.9635596"
"241","Agronominkatu","60.2340530100318","25.032857400999006"
"121","Vilhonvuorenkatu","60.1864633","24.9678718"
"242","Von Daehnin katu","60.23033717886547","25.04356806988234"
"001","Kaivopuisto","60.15544479382098","24.950292889690314"
"122","Lintulahdenkatu","60.1837182","24.9621936"
"243","Mustikkamaa","60.181861779166056","24.992037110168354"
"002","Laivasillankatu","60.160959094315416","24.95634747175871"
"123","Näkinsilta","60.179765","24.9554618"
"244","Relanderinaukio","60.18588749805257","25.00601922389024"
"003","Kapteeninpuistikko","60.1581892","24.9449274"
"124","Isoisänsilta","60.18265182058","24.98179260578"
"245","Kulosaari (M)","60.188950088551046","25.006566530899704"
"004","Viiskulma","60.1609859","24.9417758"
"125","Arielinkatu","60.18479903388","24.97864799006"
"246","Tupasaarentie","60.187998177032696","25.015391648483803"
"005","Sepänkatu","60.1579483","24.9362853"
"126","Kalasatama (M)","60.18755649","24.9770684"
"247","Haakoninlahdenkatu","60.168868558353665","25.020860955309665"
"006","Hietalahdentori","60.1622251","24.9297099"
"127","Teurastamo","60.1896994","24.9711926"
"248","Gunillantie","60.171980271468335","25.032968849816825"
"007","Designmuseo","60.1631032","24.94596"
"128","Päijänteentie","60.1920576","24.9642238"
"249","Isosaarentie","60.17549032254954","25.044900705939895"
"008","Vanha kirkkopuisto","60.1652883","24.9391499"
"129","Pernajantie","60.1942342","24.9579931"
"009","Erottajan aukio","60.166890083486","24.9442610720753"
"250","Reiherintie","60.167730503345986","25.047496264887712"
"130","Teollisuuskatu","60.193486","24.9487524"
"251","Laajasalon ostoskeskus","60.18009213610057","25.05188370479307"
"010","Kasarmitori","60.1650171805","24.94947287873"
"131","Elimäenkatu","60.1962627","24.9476186"
"252","Humalniementie","60.18374384938291","25.053037859101934"
"011","Unioninkatu","60.1674573","24.9510227"
"132","Hollolantie","60.19588479865","24.95453389981"
"253","Tammisalon aukio","60.19164687919301","25.06118417092495"
"012","Kanavaranta","60.168384","24.9583814"
"133","Paavalinpuisto","60.1974886","24.9614385"
"254","Agnetankuja","60.187234122757424","25.036412289626025"
"013","Merisotilaantori","60.1678703","24.9755341"
"134","Haukilahdenkatu","60.1985314","24.9676708"
"255","Laivalahden puistotie","60.18795810306132","25.031385306773423"
"014","Senaatintori","60.1691278","24.9526414"
"135","Velodrominrinne","60.2010614","24.9440506"
"256","Herttoniemenranta","60.190210145879014","25.026065710136564"
"015","Ritarikatu","60.17110664588","24.95555819284"
"136","Sofianlehdonkatu","60.2032721","24.9513636"
"257","Margareetankuja","60.19100958139025","25.037070035460086"
"016","Liisanpuistikko","60.1741822","24.9613747"
"137","Arabian kauppakeskus","60.2027912","24.9666128"
"258","Abraham Wetterin tie","60.19270789626325","25.042580274921047"
"017","Varsapuistikko","60.1731029004969","24.9495192737191"
"138","Arabiankatu","60.20649156514502","24.977079011778606"
"259","Petter Wetterin tie","60.19313762536413","25.031111942585127"
"018","Porthania","60.16986222858","24.9481463998"
"139","Muotoilijankatu","60.209796","24.979682"
"019","Rautatientori / itä","60.1708236","24.9425268"
"260","Herttoniemi (M)","60.194614624348006","25.02887208274608"
"140","Verkatehtaanpuisto","60.2137007","24.9797283"
"261","Asentajanpuisto","60.19912713758262","25.042592465753465"
"020","Kaisaniemenpuisto","60.17319894172505","24.943301000681707"
"141","Intiankatu","60.2078582","24.9676383"
"262","Siilitie (M)","60.20596244959136","25.04516115672629"
"021","Töölönlahdenkatu","60.1729435","24.939284"
"142","Koskelantie","60.208749","24.9465139"
"263","Herttoniemen kirkko","60.19844295116548","25.032112127941765"
"022","Rautatientori / länsi","60.1706061","24.9397601"
"143","Kuikkarinne","60.15708560052","24.86930605276"
"264","Eränkävijäntori","60.204561663649095","25.033597412211737"
"023","Kiasma","60.1712579","24.9374279"
"144","Käpyläntie","60.2139043","24.9588108"
"265","Siilitie 9","60.20947670530612","25.037482215660486"
"024","Mannerheimintie","60.1690724","24.9394195"
"145","Pohjolankatu","60.213421","24.9437964"
"266","Siilitie 13","60.215063371665806","25.04379377901174"
"025","Narinkka","60.1700420359","24.93460698"
"146","Pohjolanaukio","60.2172043","24.9544112"
"267","Roihupelto","60.209287","25.055528"
"026","Kamppi (M)","60.1686095","24.9305373"
"147","Käpylän asema","60.2208057097763","24.9479290250383"
"268","Porolahden koulu","60.19553971683871","25.053580944057305"
"027","Eerikinkatu","60.1673332","24.9357851"
"148","Juhana Herttuan tie","60.2184427","24.9664619"
"269","Peukaloisentie","60.1987054995554","25.05854933123242"
"028","Lastenlehto","60.1658121","24.927021"
"149","Toinen linja","60.183164","24.9441949"
"029","Baana","60.164088","24.9225658"
"270","Tulisuontie","60.202072986712835","25.060046596074795"
"150","Töölönlahden puisto","60.1769901768536","24.9334651536092"
"271","Prinsessantie","60.206340232662725","25.060092333540833"
"030","Itämerentori","60.1635309","24.9145165"
"272","Marjaniementie","60.20432489166999","25.07606935994523"
"031","Marian sairaala","60.1680998","24.9220763"
"273","Kauppakartanonkuja","60.207097461138005","25.07915481461614"
"032","Eläinmuseo","60.1713589074265","24.9318975121428"
"274","Voikukantie","60.20899759942336","25.086782105520793"
"033","Kauppakorkeakoulu","60.1711591","24.924961"
"275","Itäkeskus (M)","60.20960066552812","25.07596801515546"
"034","Kansallismuseo","60.1739641","24.9329875"
"276","Puotinharju","60.21249416558419","25.08232209439382"
"035","Cygnaeuksenkatu","60.174063715","24.92822758053"
"277","Marjaniemi","60.20360955659899","25.086296156701028"
"036","Apollonkatu","60.1760798","24.9223942"
"278","Puotilantie","60.209059633662385","25.100426060233303"
"037","Töölönkatu","60.1775598","24.9283272"
"279","Puotinkylän kartano","60.21250990784526","25.10619874297898"
"038","Töölöntori","60.1791231","24.9249114"
"039","Ooppera","60.1825529","24.926687"
"280","Puotilan ostoskeskus","60.21270057142605","25.095559512793297"
"281","Puotila (M)","60.21482071331432","25.09112452769074"
"040","Hakaniemi (M)","60.17810631604","24.95218124892"
"161","Eteläesplanadi","60.16723083051","24.94746581951"
"282","Karhulantie","60.218601478441435","25.10232484990167"
